N	Stephen Muggleton
P	Patrick M. Murphy
N	Sreerama K. Murthy
P	Filippo Neri
N	Craig Nevill-Manning
N	Andrew Y. Ng
P	Nikolay Nikolaev
N	Steven W. Norton
P	Joseph O'Sullivan
P	Dan Oblinger
P	Jong-Hoon Oh
N	Arlindo Oliveira
P	David W. Opitz
P	Sandra Panizza
P	Barak A. Pearlmutter
N	Ed Pednault
P	Jing Peng
P	Fernando Pereira
P	Aurora Perez
P	Bernhard Pfahringer
P	David Pierce
N	Krishnan Pillaipakkamnatt
P	Roberto Piola
P	Leonard Pitt
P	Lorien Y. Pratt
N	Armand Prieditis
P	Foster J. Provost
N	J. R. Quinlan
P	John Rachlin
P	Vijay Raghavan
N	R. Bharat Rao
N	Priscilla Rasmussen
P	Joel Ratsaby
P	Michael Redmond
P	Patricia J. Riddle
P	Lance Riley
P	Ronald L. Rivest
P	Huw Roberts
P	Dana Ron
P	Robert S. Roos
P	Justinian Rosca
P	John R. Rose
P	Dan Roth
P	James S. Royer
P	Ronitt Rubinfeld
N	Stuart Russell
P	Lorenza Saitta
P	Yoshifumi Sakai
P	William Sakas
P	Marcos Salganicoff
N	Steven Salzberg
N	Claude Sammut
P	Cullen Schaffer
P	Robert Schapire
P	Mark Schwabacher
P	Michele Sebag
P	Gary M. Selzer
P	Sebastian Seung
N	Arun Sharma
P	Jude Shavlik
P	Daniel L. Silver
N	Glenn Silverstein
P	Yoram Singer
P	Mona Singh
P	Satinder Pal Singh
P	Kimmen Sjolander
P	David B. Skalak
P	Sean Slattery
P	Robert Sloan
P	Donna Slonim
P	Carl H. Smith
P	Sonya Snedecor
P	Von-Wun Soo
N	Thomas G. Spalthoff
P	Mark Staley
N	Frank Stephan
P	Mandayam T. Suraj
P	Richard S. Sutton
P	Joe Suzuki
N	Prasad Tadepalli
P	Hiroshi Tanaka
N	Irina Tchoumatchenko
N	Brian Tester
N	Chen K. Tham
P	Tatsuo Unemi
N	Lyle H. Ungar
P	Paul Utgoff
P	Karsten Verbeurgt
P	Paul Vitanyi
P	Xuemei Wang
P	Manfred Warmuth
P	Gary Weiss
N	Sholom Weiss
N	Thomas Wengerek
N	Bradley L. Whitehall
N	Alma Whitten
P	Robert Williamson
P	Janusz Wnek
P	Kenji Yamanishi
P	Takefumi Yamazaki
P	Holly Yanco
P	John M. Zelle
N	Thomas Zeugmann
P	Jean-Daniel Zucker
P	Darko Zupanic
